Category,Course Code,Course Name,Section,MeetingTimes,Dates,Instructor,Notes,Class Nbr,Specialization #1,Specialization #2,Specialization #3,Specialization #4,Specialization #5,Specialization #6,Specialization #7,Specialization #8,Days,Times,Credits
Inter-Area,INTA-GB.3371,Ind Study: Signature Proj (3),01,,09/02-12/19,,"By-permission only. To sign up for Stern Signature Project, visit https://nyustern.campusgroups.com/ose",21914,,,,,,,,,N/A,,3
Management Communication,MCOM-GB.2100,Management Communication (1.5),01,TR 3:00 pm - 4:20 pm,09/03-10/15,"Burns,R",,21841,Management,,,,,,,,TR,3:00 pm - 4:20 pm,1.5
Management Communication,MCOM-GB.2105,Business Communication (1.5),10,W 6:00 pm - 9:00 pm,11/04-12/16,"Younger,J",,21843,,,,,,,,,W,6:00 pm - 9:00 pm,1.5
Management Communication,MCOM-GB.2105,Business Communication (1.5),S1,Su 9:00 am - 4:00 pm,09/27-10/11,"Shi,Y",Sundays,21844,,,,,,,,,Su,9:00 am - 4:00 pm,1.5
Management Communication,MCOM-GB.2106,Improvisation for Effective Leadership (1.5),S1,Su 9:00 am - 12:00 pm,10/18-11/22,"Purdy,D/Sajnani,N",,23105,,,,,,,,,Su,9:00 am - 12:00 pm,1.5
Management and Organizational Behavior,MGMT-GB.2100,Inclusive Leadership (1.5),10,M 6:00 pm - 9:00 pm,11/09-12/14,"Weisberg,A/Basch,L",,21677,Leadership and Change Management,Sustainable Business and Innovation,,,,,,,M,6:00 pm - 9:00 pm,1.5
Management and Organizational Behavior,MGMT-GB.2105,Strategic Management of AI (1.5),01,T 1:30 pm - 4:20 pm,10/27-12/01,"Seamans,R",,22904,Management,Strategy,,,,,,,T,1:30 pm - 4:20 pm,1.5
Management and Organizational Behavior,MGMT-GB.2159,"Collaboration, Conflict, and Negotiation (1.5)",10,W 6:00 pm - 9:00 pm,09/23-10/28,"Shapira,Z",,21682,Leadership and Change Management,Management,,,,,,,W,6:00 pm - 9:00 pm,1.5
Management and Organizational Behavior,MGMT-GB.2159,"Collaboration, Conflict, and Negotiation (1.5)",S1,,09/27-10/11,,Sundays,21681,Leadership and Change Management,Management,,,,,,,N/A,,1.5
Management and Organizational Behavior,MGMT-GB.2161,Negotiating Complex Transactions With Executives and Lawyers (1.5),10,R 6:00 pm - 9:00 pm,11/05-12/17,"Freeman,S",,21698,Entrepreneurship and Innovation,Law & Business,Leadership and Change Management,Management,,,,,R,6:00 pm - 9:00 pm,1.5
